Name,Price,Rating
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 899,4.5 out of 5
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,170",4.5 out of 5
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,022",4.7 out of 5
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 896,4.7 out of 5
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 780,4.6 out of 5
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",KSh 780,4.6 out of 5
"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",KSh 780,4.7 out of 5
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,899",4.6 out of 5
Nunix R5 Hot & Normal Free Standing Water Dispenser - White,"KSh 3,999",4.3 out of 5
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,199",4.7 out of 5
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 5 Litres,"KSh 1,199",4.6 out of 5
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 3,647",4.4 out of 5
"NIVEA MEN Deep Antibacterial Anti-Perspirant Spray, 48h -150ml (Pack Of 2)","KSh 1,199",4.7 out of 5
NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2),KSh 893,4.6 out of 5
NIVEA Q10 Power Anti-Wrinkle Day Cream 50ml & Night Cream 50ml,"KSh 2,496",4.6 out of 5
Ballantine Ballantine Blended Scotch Whiskey - 1 Litre,"KSh 2,599",4.6 out of 5
William Lawson's William Lawson's Scotch Whisky – 750ml,"KSh 1,662",4.5 out of 5
Nunix AF-5 Air Fryer Healthier Oil Free Fryer And Fries Maker,"KSh 5,994",4.7 out of 5
Premier PM-90 Single Door Fridge – 90L,"KSh 18,540",3.5 out of 5
Nunix 6L Electric Chips Deep Fryer,"KSh 4,468",4 out of 5
Martini Martini Fierro 750ml,"KSh 2,204",4.7 out of 5
Beefeater Beefeater London Pink Gin - 750ML,"KSh 2,599",4.7 out of 5
Premier Washing Machine Twin Tub 10kg Washer 6kg Dryer,"KSh 27,547",4 out of 5
Jameson Jameson Black Barrel Irish Whiskey - 750ml,"KSh 4,076",4.9 out of 5
Nunix NU-9090A 5.1 Woofer/mini Home Theatre Speaker System,"KSh 14,107",4.5 out of 5
Bacardi Bacardi Spiced 700ml,"KSh 1,768",4.1 out of 5
Malfy Malfy Gin Con Rosa - 750ml,"KSh 3,724",4.9 out of 5
Top Fry Top Fry Vegetable Oil - 5ltr,"KSh 1,499",4.6 out of 5
Kasuku Kasuku Cooking Fat Plastic Tub 500g - Pack of 24,"KSh 2,999",4.5 out of 5
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Routine Pack - 135ml,"KSh 8,199",None
Inverroche Inverroche Classic Gin - 750ml,"KSh 4,199",5 out of 5
Fay Fay Kitchen Towels Twin Pack,KSh 384,4.7 out of 5
Kifaru Rhino Kubwa Matchsticks 60s x 10 x 10,KSh 370,None
Malfy Malfy Gin Con Limone - 750ml,"KSh 3,708",5 out of 5
Havana Club Anejo Especial Rum - 700ml,"KSh 2,216",4.7 out of 5
Santa Santa Santa Helena Gran Vino Blanco White 750ml,"KSh 1,109",4.4 out of 5
Durbanville Durbanville Shiraz - 750ml,"KSh 1,543",4.8 out of 5
Huggies Unisex Pants Gold Size 3 Count 36,"KSh 1,231",5 out of 5
Hennessy Hennessy XO - 700ml,"KSh 40,375",None
Beefeater Beefeater London Blood Orange Gin - 700ML,"KSh 2,537",4.7 out of 5
